Stock,Contemporaneous R²,Lagged R²
SOUN,0.45526404182486435,0.0025391928676976594
MARA,0.42725868253261745,0.002136570535953952
LCID,0.481601837653839,0.0036032460814978684
QSI,0.40044301678984273,0.0013328044680612772
KITT,0.27662470399057015,0.0008278513939714571
NITO,0.42288058272670026,0.0008873155225704865
